tanggal,ph,temperature,turbinity,label
2023-06-10 01:05:03,5.7,25.62,5,bersih
2023-06-10 01:05:09,5.75,25.62,5,bersih
2023-06-10 01:05:14,5.76,25.56,5,bersih
2023-06-10 01:05:20,5.66,25.62,5,bersih
2023-06-10 01:05:26,5.76,25.62,5,bersih
2023-06-10 01:05:32,5.78,25.62,5,bersih
2023-06-10 01:05:37,5.7,25.62,5,bersih
2023-06-10 01:05:43,5.78,25.62,5,bersih
2023-06-10 01:05:49,5.7,25.62,5,bersih
2023-06-10 01:05:54,5.79,25.62,5,bersih
2023-06-10 01:06:00,5.71,25.62,5,bersih
2023-06-10 01:06:06,5.8,25.62,5,bersih
2023-06-10 01:06:11,5.69,25.62,5,bersih
2023-06-10 01:06:17,5.85,25.62,5,bersih
2023-06-10 01:06:23,5.76,25.62,5,bersih
2023-06-10 01:06:29,5.66,25.62,5,bersih
2023-06-10 01:06:34,5.67,25.62,5,bersih
2023-06-10 01:06:40,5.71,25.56,5,bersih
2023-06-10 01:06:46,5.69,25.56,5,bersih
2023-06-10 01:06:52,5.72,25.62,5,bersih
2023-06-10 01:06:58,5.67,25.62,5,bersih
2023-06-10 01:07:03,5.76,25.62,5,bersih
2023-06-10 01:07:09,5.71,25.62,5,bersih
2023-06-10 01:07:15,5.85,25.62,5,bersih
2023-06-10 01:07:20,5.65,25.62,6,bersih
2023-06-10 01:07:26,5.8,25.62,5,bersih
2023-06-10 01:07:32,5.73,25.62,5,bersih
2023-06-10 01:07:38,5.72,25.62,6,bersih
2023-06-10 01:07:43,5.66,25.56,5,bersih
2023-06-10 01:07:49,5.77,25.62,6,bersih
2023-06-10 01:07:55,5.71,25.56,6,bersih
2023-06-10 01:08:00,5.65,25.62,5,bersih
2023-06-10 01:08:06,5.81,25.62,5,bersih
2023-06-10 01:08:12,5.62,25.62,5,bersih
2023-06-10 01:08:17,5.71,25.62,5,bersih
2023-06-10 01:08:23,5.77,25.56,5,bersih
2023-06-10 01:08:29,5.75,25.56,6,bersih
2023-06-10 01:08:34,5.71,25.62,5,bersih
2023-06-10 01:08:40,5.66,25.62,5,bersih
2023-06-10 01:08:46,5.74,25.62,5,bersih
2023-06-10 01:08:52,5.73,25.62,5,bersih
2023-06-10 01:08:57,5.73,25.62,5,bersih
2023-06-10 01:09:03,5.71,25.62,6,bersih
2023-06-10 01:09:09,5.76,25.62,5,bersih
2023-06-10 01:09:14,5.73,25.62,5,bersih
